C202:1
C203:1
C204:1
C205:1
Cbias1:1
Cbias2:1
Cbias3:1
Ccor1:1
Ccor2:1
Ccor3:1
Ccor4:1
Cinshunt1:1
Cinshunt1v1:1
Cout1:1
Cout1v1:1
Coutshunt1:1
Coutshunt1v1:1
Coutshunt2:1
Coutshunt2v1:1
Cpow1:1
Cpow2:1
Cpow3:1
Cr8:1
Crf_in1:1
Crf_in1v1:1
Dcor1:1
Dcor2:1
Dcor3:1
Dcor4z1:1
Dzener1:1
GND:1
J1:1
J2:1
JP1:1
L1:1
L2:1
L3:1
L6:1
L7:1
L8:1
Q1:1
Q2:1
R1:1
R6:1
R8:1
REF**:4
RLY1:1
RLY2:1
RV1:1
Ratt1:1
Ratt2:1
Ratt3:1
Rcor1:1
Rcor2:1
Rcor3:1
U1:1
VCC:1
