C202:1
C203:1
C204:1
C205:1
Cbias1:1
Cbias2:1
Cbias3:1
Cinshunt1:1
Cinshunt1v1:1
Cout1:1
Cout1v1:1
Coutshunt1:1
Coutshunt1v1:1
Coutshunt2:1
Coutshunt2v1:1
Cpow1:1
Cpow2:1
Cpow3:1
Cr8:1
Crf_in1:1
Crf_in1v1:1
Dzener1:1
GND:2
J1:1
J2:1
JP1:1
L1:1
L2:1
L6:1
L7:1
L8:1
Q1:1
R1:1
R6:1
R8:1
REF**:3
RV1:1
Ratt1:1
Ratt2:1
Ratt3:1
U1:1
VCC:2
