Designator,Footprint,Quantity,Value,LCSC Part #
"C1, Cpower2",1206,2,100nF,
Cpower1,C_Elec_8x10.2,1,100uF,
"Cpower3, Cpower4",1206,2,1nF,
"Jrfin1, Jrfout1",SMA_EDGELAUNCH_Modded,2,Conn_Coaxial,
"Lchoke1, Ldrain1, Ldrain2, Lrf1",L_Wuerth_HCM-1050,4,L,
"Q1, Q2",TO-220-3_Vertical,2,IRF540N,
"Rdischarge1, Rdischarge2, Rdischarge3",0805,3,1M,
"Rgate1, Rgate2",2010,2,3R,
Rucc_en1,0805,1,100k,
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,UCC27425DR,C1848352
