C1:1
Cpower1:1
Cpower2:1
Cpower3:1
Cpower4:1
Jrfin1:1
Jrfout1:1
Lchoke1:1
Ldrain1:1
Ldrain2:1
Lrf1:1
Q1:1
Q2:1
REF**:5
Rdischarge1:1
Rdischarge2:1
Rdischarge3:1
Rgate1:1
Rgate2:1
Rucc_en1:1
U1:1
VCC:1
